Code,Lat,Long,Cluster
100768,12.9346066,77.6959964,ORR
100769,12.9336972,77.6967202,ORR
100770,12.97278,77.61733,CBD
100771,12.984214,77.591079,CBD
100772,12.975508,77.614205,CBD
100773,12.977483,77.619257,CBD
100774,12.983797,77.586218,CBD
100775,12.97555,77.59987,CBD
100776,12.97369,77.59527,CBD
100777,12.98263,77.587366,CBD
100778,12.98807,77.58066,CBD
100779,12.98391,77.579911,CBD
100780,12.98632,77.589101,CBD
100781,12.96788,77.587047,CBD
100782,12.96227,77.593401,CBD
100783,12.96073,77.600936,CBD
100784,12.961556,77.598951,CBD
100785,12.991459,77.614573,CBD
100786,12.982838,77.613337,CBD
100787,12.98819257,77.61704175,CBD
100788,12.99688,77.587519,CBD
100789,12.99039,77.589114,CBD
100790,12.99282,77.58879,CBD
100791,12.96349712,77.60119749,CBD
100792,12.96672,77.59869,CBD
100793,12.96954,77.60277,CBD
100794,12.96804,77.59997,CBD
100795,12.96744472,77.6070199,CBD
100796,12.96863,77.61461,CBD
100797,12.969479,77.616334,CBD
100798,12.97073,77.616846,CBD
100799,12.97249,77.61846,CBD
100800,12.97073,77.616846,CBD
100801,12.975084,77.604232,CBD
100802,12.9962443,77.58620774,CBD
100803,12.9551828,77.5920797,CBD
100804,12.95133249,77.59030396,CBD
100805,12.9525349,77.5910711,CBD
100806,12.96672,77.59869,CBD
100807,12.96744472,77.6070199,CBD
100808,12.96084327,77.74087787,Whitefield
100809,12.95652,77.73428,Whitefield
100810,12.95647,77.73245,Whitefield
100811,12.9750774,77.706774,Whitefield
100812,12.974523,77.703978,Whitefield
100813,12.96484897,77.58765932,CBD
100813,12.98197539,77.58870655,CBD
100813,12.96594018,77.61407008,CBD
100813,12.96405,77.61452,CBD
100813,12.9666662,77.57408671,CBD
100813,12.96619833,77.57428586,CBD
100813,12.95047699,77.59323669,CBD
100813,12.95172061,77.59521042,CBD
100813,12.95046423,77.59763199,CBD
100814,12.97648,77.6353,Indiranagar
100815,12.84129937,77.64760338,Electronic City
100816,12.83830209,77.65569258,Electronic City
100817,12.93859512,77.62867244,Koramangala
100818,12.97759,77.6368,Indiranagar
100819,12.95302635,77.59510967,CBD
100820,12.972538,77.7006688,Whitefield
100821,12.98003535,77.63395996,Indiranagar
100822,12.97953,77.6363,Indiranagar
100823,12.97862,77.63617,Indiranagar
100824,12.938415,77.631228,Koramangala
100825,12.927326,77.629064,Koramangala
100826,12.930408,77.629133,Koramangala
100827,12.929391,77.631825,Koramangala
100828,12.92954973,77.63325804,Koramangala
100829,12.932122,77.629504,Koramangala
100830,12.931414,77.629233,Koramangala
100831,12.932108,77.631881,Koramangala
100831,12.931141,77.632163,Koramangala
100832,12.934779,77.629491,Koramangala
100833,12.924373,77.631585,Koramangala
100834,12.924615,77.631726,Koramangala
100835,12.95692,77.70248,Whitefield
100836,12.9317915,77.6960931,ORR
100837,12.95671,77.70281,Whitefield
100838,12.97936208,77.75145114,Whitefield
100839,12.982308,77.634568,Indiranagar
100840,12.9337418,77.6950787,ORR
100841,12.933891,77.6950671,ORR
100841,12.93592,77.69193,ORR
100842,12.92708,77.62091,Koramangala
100843,12.83830209,77.65569258,Electronic City
100844,12.83770813,77.66040221,Electronic City
100845,12.97647,77.72582,Whitefield
100846,12.83898367,77.6598319,Electronic City
100847,12.8369275,77.65815753,Electronic City
100848,12.84855722,77.650357,Electronic City
100849,12.82982819,77.66587023,Electronic City
100850,12.83255359,77.65930485,Electronic City
100851,12.84128,77.6454,Electronic City
100852,12.86912244,77.65309386,Electronic City
100853,12.86723713,77.66343537,Electronic City
100854,12.85543667,77.66385421,Electronic City
100855,12.85093069,77.65840463,Electronic City
100856,12.93248405,77.6881548,ORR
100857,12.98119,77.637525,Indiranagar
100858,12.97763509,77.71443491,Whitefield
100859,12.981765,77.6373517,Indiranagar
100860,12.94987834,77.57354935,CBD
100861,12.95099523,77.57404078,CBD
100861,12.96220242,77.59613816,CBD
100862,12.96073498,77.5992706,CBD
100863,12.97711,77.71878,Whitefield
100864,12.95192,77.64356,Indiranagar
100865,12.92696,77.62254,Koramangala
100866,12.92778,77.62391,Koramangala
100867,12.92768,77.6267,Koramangala
100868,12.92552,77.6777,ORR
100869,12.97708,77.71007,Whitefield
100870,12.955892,77.724772,Whitefield
100871,12.9618692,77.7476471,Whitefield
100872,12.98154,77.71094,Whitefield
100873,12.97273,77.71507,Whitefield
100874,12.971788,77.712075,Whitefield
100875,12.97124,77.71257,Whitefield
100876,12.97049,77.70703,Whitefield
100877,12.84878277,77.65790138,Electronic City
100878,12.84369,77.66022833,Electronic City
100879,12.83824333,77.65867667,Electronic City
100880,12.93064,77.62273,Koramangala
100881,12.92966,77.62162,Koramangala
100882,12.93071,77.62486,Koramangala
100883,12.92383,77.67577,ORR
100884,12.92254,77.67494,ORR
100885,12.92232,77.67227,ORR
100886,12.955687,77.717701,Whitefield
100887,12.98047611,77.7219598,Whitefield
100888,12.97987,77.72751,Whitefield
100889,12.92305,77.67245,ORR
100890,12.92183,77.66531,ORR
100891,12.93046,77.62731,Koramangala
100892,12.93117,77.62254,Koramangala
100893,12.93186,77.62525,Koramangala
100894,12.93269,77.62764,Koramangala
100895,12.92542,77.66545,ORR
100898,12.93357,77.61956,Koramangala
100899,12.83640577,77.65757985,Electronic City
100900,12.9852483,77.6440384,Indiranagar
100901,12.969029,77.684507,Indiranagar
100902,12.9681901,77.684306,Indiranagar
100902,12.9500116,77.6422382,Indiranagar
100903,12.965268,77.648961,Indiranagar
100904,12.893517,77.693992,NA
100905,12.93421,77.62268,Koramangala
100906,12.93453,77.62514,Koramangala
100907,12.968724,77.647759,Indiranagar
100908,12.84012027,77.65293628,Electronic City
100909,12.84553333,77.66519333,Electronic City
100910,12.84397855,77.67128192,Electronic City
100911,12.84083486,77.66402822,Electronic City
100912,12.84287106,77.67371334,Electronic City
100913,12.84692833,77.670565,Electronic City
100914,12.84556297,77.66133428,Electronic City
100915,12.84502688,77.66008638,Electronic City
100916,12.849615,77.66337667,Electronic City
100917,12.85356303,77.66058795,Electronic City
100918,12.84191393,77.66467731,Electronic City
100919,12.84018435,77.66287085,Electronic City
100920,12.83991629,77.66408186,Electronic City
100921,12.83780423,77.66455997,Electronic City
100922,12.84322,77.66397667,Electronic City
100923,12.84250723,77.67094631,Electronic City
100924,12.85034133,77.6624551,Electronic City
100925,12.93419,77.62622,Koramangala
100926,12.92609394,77.62456801,Koramangala
100927,12.97092701,77.6475038,Indiranagar
100928,12.97121,77.64879,Indiranagar
100929,12.97003481,77.65054743,Indiranagar
